Accident_Index		Accelerometer 			location 		Probability
		X	Y	Z	Latitude	Longitude	
201506E098757		372	423	402	139.2438277	-16.63736445	No
201506E098766		355	380	424	145.7645919	-16.92495839	No
201506E098766		337	413	403	153.2849816	-27.81885814	No
201506E098777		354	374	415	153.109064	-26.79602439	No
201506E098780		353	374	429	153.0357624	-27.47618292	No
201506E098780		358	527	414	152.8725434	-25.28620516	No
201506E098792		347	290	435	153.0257546	-27.52203568	No
201506E098792		354	554	383	146.7136426	-19.34190784	No
201506E098804		366	283	435	153.0080452	-27.55597216	No
201506E098826		338	508	407	153.42723	-28.03467236	No
201506E098826		364	360	432	152.8967132	-25.28865002	No
201506E098847		387	371	408	151.379398	-25.61394107	No
201506E098847		302	574	346	152.9832075	-27.53098407	No
201506E098925		720	501	323	152.8082602	-27.6120346	No
201506E098925		155	497	182	153.0622155	-27.37253287	No
201506E098925		"Alert , drastic change in values"			146.7495139	-19.28935435	Yes
201506E098925		591	429	98	153.429376	-28.00862339	No
201506E098925		382	301	293	153.0446241	-26.72120262	No
201506E099370		262	556	319	152.9885913	-27.47606118	No
201506E099370		461	370	434	153.0211159	-27.3121871	No
201506E099429		337	368	368	152.9644158	-27.03088477	No
201506E099429		357	485	363	151.9388762	-27.47250714	No
201506E099455		357	414	345	152.916235	-27.60558301	No
201506E099455		304	480	425	153.318607	-27.90711913	No
201506E099474		422	388	427	153.0927234	-26.53272468	No
201506E099505		364	267	324	152.9832382	-27.28309028	No
201506E099505		323	448	192	153.0619302	-27.36653095	No
201506E099534		301	271	408	153.0269778	-27.44540687	No
201506E099637		286	468	395	152.9927722	-26.85004417	No
201506E099637		347	403	478	151.9277049	-27.56159832	No
201506E099749		"Alert , drastic change in values"			151.7719237	-27.79978342	Yes
201506E099749		417	16	294	153.1070217	-27.57660065	No
201506E099755		415	721	161	153.1127516	-27.59409775	No
201506E099797		184	469	318	153.0403601	-27.51242468	No
201506E099797		465	348	412	152.0184831	-28.22762315	No
201506E099800		295	409	405	145.7753785	-16.91957276	No
201506E099800		320	402	412	153.0406636	-27.5572902	No
201506E099833		307	374	415	152.9626128	-27.41149756	No
201506E099833		335	340	399	148.3719199	-20.20123951	No
201506E099833		"Alert , drastic change in values"			148.6130919	-20.78263312	Yes
201506E099888		680	83	9	145.8687123	-20.23807941	No
201506E099976		"Alert , drastic change in values"			152.3779466	-24.95158902	Yes
201506E099976		392	239	5	153.0280947	-27.4035079	No
201506E099978		314	649	420	153.118702	-27.63846264	No
201506E099978		312	404	400	153.1400202	-27.66373859	No
201506E099988		314	360	402	153.0823518	-27.67834633	No
201506E099988		354	373	414	145.337907	-24.070764	No
201506EM06421		320	336	421	153.1491267	-27.64750132	No
201506EM06421		387	454	326	150.5067601	-23.38244091	No
201506F000007		"Alert , drastic change in values"			152.3665834	-27.17868033	Yes
201506F000007		96	405	6	153.4007385	-27.95714769	No
201506F000007		"Alert , drastic change in values"			144.2472927	-23.44466564	Yes
201506F000110		198	10	36	153.2568239	-27.5241821	No
201506F000171		351	401	341	152.7043231	-25.5340442	No
201506F000171		313	419	403	151.8593998	-27.71151584	No
201506F000171		406	358	434	153.0355283	-27.45786511	No
201506F000182		480	487	336	151.9393334	-27.58989342	No
201506F000182		"Alert , drastic change in values"			149.0704636	-21.59223595	Yes
201506F000440		9	199	7	151.9726171	-27.55336568	No
